"Notes"	"County of Residence"	"County of Residence Code"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Education"	"Mother's Education Code"	"NICU Admission"	"NICU Admission Code"	Births	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	13	0.00%	17.62	37.85	3099.15	27.62	0.00	20.20
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	20	0.01%	21.55	38.74	3203.60	26.91	0.00	22.58
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	25	0.01%	21.72	38.84	3232.68	26.22	0.00	23.50
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	10	0.00%	26.40	39.10	3289.80	26.93	0.00	46.67
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	29	0.01%	26.69	38.41	3077.10	26.28	0.00	35.95
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	11	0.00%	26.18	38.45	2903.73	27.25	0.00	33.60
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	14	0.00%	27.36	38.36	3300.00	23.66	0.00	50.00
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	12	0.00%	31.33	36.75	3118.45	27.05	0.00	31.44
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	22	0.01%	31.68	37.05	2877.68	26.31	0.00	53.92
	"Anne Arundel County, MD"	"24003"	"0 prenatal visits"	"0"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	16	0.00%	32.25	39.06	3534.69	26.49	0.00	42.50
